序号	class	pdate	sequence	amount	forecast
 1	1	1	20141220	1.01	
 2	1	3	20141222	0.05	
 3	1	5	20141227	11.0499	
 4	1	6	20141228	27.6	
 5	1	11	20150102	157125.8999	
 6	1	12	20150103	163399.3099	
 7	1	21	20150112	586128.85	
 8	1	23	20150114	516370.8699	
 9	1	26	20150117	563371.13	
 10	1	29	20150120	987738.62	
 11	1	30	20150121	1131355.23	
 12	1	34	20150125	1083827.3099	
 13	1	35	20150126	1652539.53	
 14	1	40	20150131	2390964.92	
 15	1	41	20150201	3.204685338E7	
 16	1	51	20150211	1.20409139999E7	
 17	1	63	20150223	1713967.88	
 18	1	66	20150226	4806248.3699	
 19	1	70	20150302	5.13751322799E7	
 20	1	76	20150308	3.068240731E7	
 21	1	79	20150311	1.42773727299E7	
 22	1	81	20150313	6002188.41	
 23	1	83	20150315	3218485.0399	
 24	1	86	20150318	3841436.81	
 25	1	87	20150319	3388482.22	
 26	1	94	20150326	4374066.0199	
 27	1	95	20150327	4442719.61	
 28	1	96	20150328	3439224.97	
 29	1	99	20150331	5569075.21	
 30	1	102	20150403	4.48677193199E7	
 31	1	106	20150407	6.021795169E7	
 32	1	108	20150409	1.522484426299E8	
 33	1	109	20150410	3.9836832893E8	
 34	1	110	20150411	2.20597960299E7	
 35	1	114	20150415	1.461274861E7	
 36	1	117	20150418	1.01421543699E7	
 37	1	123	20150424	1.44381465E7	
 38	1	126	20150427	1.873738953E7	
 39	1	127	20150428	1.904998381E7	
 40	1	133	20150504	8.57031871799E7	
 41	1	134	20150505	8.81859336699E7	
 42	1	138	20150509	2.5281324067E8	
 43	1	139	20150510	5.8194953727E8	
 44	1	149	20150520	3.25953042599E7	
 45	1	150	20150521	3.24042873199E7	
 46	1	153	20150524	2.456346603E7	
 47	1	157	20150528	4.333953279E7	
 48	1	159	20150530	3.539696391E7	
 49	1	161	20150601	3.1943708517E8	
 50	1	163	20150603	1.496234333099E8	
 51	1	165	20150605	1.487659050799E8	
 52	1	171	20150611	9.02019220299E7	
 53	1	172	20150612	5.504654088E7	
 54	1	173	20150613	3.46318458399E7	
 55	1	177	20150617	3.721032492E7	
 56	1	182	20150622	3.133914713E7	
 57	1	183	20150623	4.007161825E7	
 58	1	188	20150628	3.77140531399E7	
 59	1	193	20150703	1.818919417699E8	
 60	1	194	20150704	1.468955369499E8	
 61	1	196	20150706	2.119355482499E8	
 62	1	197	20150707	2.2459594737E8	
 63	1	201	20150711	9.282403136E7	
 64	1	202	20150712	5.255113093E7	
 65	1	203	20150713	6.10812705799E7	
 66	1	213	20150723	5.12897415699E7	
 67	1	218	20150728	6.36098923199E7	
 68	1	219	20150729	6.55827031199E7	
 69	1	221	20150731	8.572751708E7	
 70	1	222	20150801	3.9363853345E8	
 71	1	224	20150803	2.2988747056E8	
 72	1	229	20150808	2.6420609718E8	
 73	1	232	20150811	1.393108414099E8	
 74	1	233	20150812	8.73035511399E7	
 75	1	235	20150814	7.73953721699E7	
 76	1	243	20150822	5.39607737E7	
 77	1	248	20150827	7.97239038999E7	
 78	1	259	20150907	3.3748951898E8	
 79	1	260	20150908	3.9666918417E8	
 80	1	266	20150914	1.035880373099E8	
 81	1	268	20150916	9.357116073E7	
 82	1	269	20150917	8.60693742799E7	
 83	1	270	20150918	8.263250803E7	
 84	1	271	20150919	7.784616282E7	
 85	1	276	20150924	9.17705438499E7	
 86	1	277	20150925	1.046924785699E8	
 87	1	284	20151002	3.4895898755E8	
 88	1	285	20151003	2.7492689125E8	
 89	1	286	20151004	2.8061434497E8	
 90	1	287	20151005	2.946862173E8	
 91	1	292	20151010	2.9029805813E9	
 92	1	295	20151013	1.2706682091E8	
 93	1	300	20151018	8.617647494E7	
 94	1	312	20151030	1.7440648455E8	
 95	1	314	20151101	9.755543322699E8	
 96	1	322	20151109	1.3683090148699E9	
 97	1	326	20151113	1.780804669099E8	
 98	1	327	20151114	1.434286687299E8	
 99	1	329	20151116	2.201854249E8	
 100	1	334	20151121	1.8734555407E8	
 101	1	335	20151122	1.7935935707E8	
 102	1	338	20151125	2.302769368399E8	
 103	1	340	20151127	2.6674906459E8	
 104	1	344	20151201	1.4730053608799E9	
 105	1	346	20151203	8.049377766199E8	
 106	1	351	20151208	1.0768995231199E9	
 107	1	352	20151209	2.39736019725E9	
 108	1	353	20151210	5.0523954174501E9	
 109	1	355	20151212	2.3502181164E8	
 110	1	356	20151213	1.537365169299E8	
 111	1	357	20151214	1.9473105057E8	
 112	1	361	20151218	1.574081334699E8	
 113	1	366	20151223	1.628622377299E8	
 114	1	369	20151226	1.547330464899E8	
 115	1	372	20151229	2.252023183E8	
 116	1	373	20151230	2.4031134601E8	
 117	1	374	20151231	2.7476066527E8	
 118	1	375	20160101	1.2058900219499E9	
 119	1	379	20160105	6.461712395099E8	
 120	1	380	20160106	6.663497811399E8	
 121	1	381	20160107	7.795729130199E8	
 122	1	382	20160108	8.980516509299E8	
 123	1	386	20160112	2.344581128599E8	
 124	1	387	20160113	1.971351175E8	
 125	1	389	20160115	2.1836267912E8	
 126	1	391	20160117	1.414601791899E8	
 127	1	394	20160120	1.883967748699E8	
 128	1	396	20160122	1.699357629E8	
 129	1	397	20160123	1.545934586599E8	
 130	1	402	20160128	2.505131879799E8	
 131	1	411	20160206	8.284353921999E8	
 132	1	412	20160207	7.976104167899E8	
 133	1	417	20160212	1.568390684999E8	
 134	1	420	20160215	1.685601716199E8	
 135	1	423	20160218	1.294458987999E8	
 136	1	428	20160223	1.672303804099E8	
 137	1	430	20160225	1.696433326599E8	
 138	1	436	20160302	9.833796183499E8	
 139	1	442	20160308	7.099834264699E8	
 140	1	443	20160309	1.4967288006499E9	
 141	1	444	20160310	2.71091293557E9	
 142	1	447	20160313	1.680780196699E8	
 143	1	450	20160316	1.903182026899E8	
 144	1	451	20160317	1.6951225456E8	
 145	1	452	20160318	1.7163807584E8	
 146	1	458	20160324	1.887170762899E8	
 147	1	461	20160327	1.8907078539E8	
 148	1	468	20160403	5.826773906799E8	
 149	1	471	20160406	7.845473883999E8	
 150	1	475	20160410	3.88198776873E9	
 151	1	477	20160412	2.548696511299E8	
 152	1	480	20160415	2.5300039722E8	
 153	1	482	20160417	1.535343389499E8	
 154	1	483	20160418	2.047960929699E8	
 155	1	484	20160419	1.9617418075E8	
 156	1	492	20160427	2.5897674068E8	
 157	1	493	20160428	2.9532985819E8	
 158	1	500	20160505	7.664904999299E8	
 159	1	502	20160507	7.847540072399E8	
 160	1	503	20160508	9.103373972299E8	
 161	1	505	20160510	4.13442216119E9	
 162	1	507	20160512	2.4771576883E8	
 163	1	509	20160514	1.830152844899E8	
 164	1	510	20160515	1.853406465999E8	
 165	1	512	20160517	2.2701408317E8	
 166	1	513	20160518	2.1449326272E8	
 167	1	518	20160523	2.3695026752E8	
 168	1	519	20160524	2.361933930599E8	
 169	1	525	20160530	3.5891936177E8	
 170	1	530	20160604	6.466934092E8	
 171	1	531	20160605	6.589456484899E8	
 172	1	534	20160608	1.2760167174699E9	
 173	1	537	20160611	3.345952780399E8	
 174	1	538	20160612	3.1221668451E8	
 175	1	541	20160615	2.999293564199E8	
 176	1	543	20160617	2.3532107924E8	
 177	1	545	20160619	1.8792630104E8	
 178	1	546	20160620	2.7085776411E8	
 179	1	549	20160623	2.3703752211E8	
 180	1	558	20160702	1.2854787158699E9	
 181	1	559	20160703	7.5227325064E8	
 182	1	560	20160704	8.576336289399E8	
 183	1	561	20160705	9.244146275199E8	
 184	1	565	20160709	2.9977168083E9	
 185	1	568	20160712	3.0723468814E8	
 186	1	569	20160713	2.6051423877E8	
 187	1	570	20160714	2.3556851487E8	
 188	1	575	20160719	2.2926784314E8	
 189	1	579	20160723	2.070107799999E8	
 190	1	582	20160726	2.834308131599E8	
 191	1	588	20160801	1.75794507996E9	
 192	1	589	20160802	1.5229661085399E9	
 193	1	592	20160805	8.524683764099E8	
 194	1	593	20160806	8.173843409699E8	
 195	1	594	20160807	9.2019883853E8	
 196	1	596	20160809	3.17451942757E9	
 197	1	597	20160810	4.64686012784E9	
 198	1	605	20160818	2.346495428799E8	
 199	1	612	20160825	3.037860122499E8	
 200	1	614	20160827	2.7610380406E8	
 201	1	617	20160830	3.9843383412E8	
 202	1	619	20160901	2.09680875003E9	
 203	1	620	20160902	1.54028582097E9	
 204	1	625	20160907	1.0749974762399E9	
 205	1	630	20160912	3.6306328175E8	
 206	1	631	20160913	3.0604163677E8	
 207	1	632	20160914	3.7561679281E8	
 208	1	634	20160916	2.3896796847E8	
 209	1	635	20160917	2.320153021E8	
 210	1	639	20160921	2.938567682899E8	
 211	1	644	20160926	3.5551342813E8	
 212	1	650	20161002	1.5491544472999E9	
 213	1	651	20161003	8.966859870899E8	
 214	1	656	20161008	1.82711927794E9	
 215	1	660	20161012	3.4236666514E8	
 216	1	661	20161013	2.9980479615E8	
 217	1	666	20161018	3.1610251877E8	
 218	1	667	20161019	3.0572648547E8	
 219	1	671	20161023	2.8499102419E8	
 220	1	672	20161024	3.4741090577E8	
 221	1	673	20161025	3.9231054123E8	
 222	1	678	20161030	4.3900565067E8	
 223	1	679	20161031	6.839339870699E8	
 224	1	684	20161105	9.233315544099E8	
 225	1	688	20161109	4.2965205691001E9	
 226	1	690	20161111	6.2583088773E8	
 227	1	691	20161112	4.3737299644E8	
 228	1	694	20161115	5.8203174655E8	
 229	1	698	20161119	4.5031283015E8	
 230	1	702	20161123	5.1887833098E8	
 231	1	704	20161125	5.9415938187E8	
 232	1	710	20161201	3.89931528238E9	
 233	1	712	20161203	1.55101871622E9	
 234	1	713	20161204	1.36940145287E9	
 235	1	715	20161206	1.94701751556E9	
 236	1	717	20161208	2.61961913564E9	
 237	1	721	20161212	6.675437126599E8	
